word_labels,sentence,biased_words,biased_labels,masked_sentence
"O,O,O,O,O,O,O,O,O,O,O,O,O,O",JOB RESPONSIBILITIES:- Maintain contacts with active and gain/enlist new/potentionalaccounts/customers;- Provide constant sales increase.,,,JOB RESPONSIBILITIES:- Maintain contacts with active and gain/enlist new/potentionalaccounts/customers;- Provide constant sales increase.
"O,O,O,O,O,O,O,O,O",Effectively work individually or in a team environment.,,,Effectively work individually or in a team environment.
"O,O,O,O,O,O,O,O,O,O,Generic he,O,",The supervisor talked with the tailor and was impressed by his talent.,his,Generic he,The supervisor talked with the tailor and was impressed by his talent.
"O,O,O,O,O,O,O,Generic he,O,O,",The hairdresser shouted at the driver because he felt offended.,he,Generic he,The hairdresser shouted at the driver because he felt offended.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","He or she is to assist our guests efficiently, courteously and professionally in all front office related to functions to maintain Beck Company standards of service and hospitality.",,,"He or she is to assist our guests efficiently, courteously and professionally in all front office related to functions to maintain Beck Company standards of service and hospitality."
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Marine engineers are women.,Marine engineers are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Marine engineers are women.
"O,O,O,O,O,O,O,O,O,O,O,O",Create attractive copywriting for various products that are featured on Lifehack.,,,Create attractive copywriting for various products that are featured on Lifehack.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Marketing managers are women.,Marketing managers are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Marketing managers are women.
"O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","companies should be extremely passionate about sales marketing, have strong analytical skills and be committed to creating new business opportunities.",analytical committed,"Behavioural Stereotypes, Behavioural Stereotypes","companies should be extremely passionate about sales marketing, have strong analytical skills and be committed to creating new business opportunities."
"O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,",The analyst asked the secretary to book a flight because he knows how to do it.,he,Generic he,The analyst asked the secretary to book a flight because he knows how to do it.
"O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O","The Successful Candidate Must Possess Solid Problem Solving, Analytical, Technical, Written And Oral Communication Skills.","Analytical,",Behavioural Stereotypes,"The Successful Candidate Must Possess Solid Problem Solving, Analytical, Technical, Written And Oral Communication Skills."
"Generic she,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","She was previously the cofounder and CTO of a successful technology startup, and is currently a software development manager at Amazon.",She,Generic she,"She was previously the cofounder and CTO of a successful technology startup, and is currently a software development manager at Amazon."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",You’ll respond to key questions and draft answers for social media and make spot decisions about posts to maximize Tile’s presence and sales.,,,You’ll respond to key questions and draft answers for social media and make spot decisions about posts to maximize Tile’s presence and sales.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",to provide a safe environment to harness your potential and let you build your career a pace that suits you.,,,to provide a safe environment to harness your potential and let you build your career a pace that suits you.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","The job  We're looking for a graduate intern with a good knowledge of fashion and garment terminology, an eye for trends and a good understanding of the retail landscape.",,,"The job  We're looking for a graduate intern with a good knowledge of fashion and garment terminology, an eye for trends and a good understanding of the retail landscape."
"O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,",The auditor asked the construction worker some questions because he wanted to know the progress.,he,Generic he,The auditor asked the construction worker some questions because he wanted to know the progress.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Establishes and maintains cooperative, constructive interpersonal relationships with the Company staff at all levels.",,,"Establishes and maintains cooperative, constructive interpersonal relationships with the Company staff at all levels."
"O,O,O,O,O,O,O,O,O,Generic she,O,O,O,",The chief asked the cleaner to leave immediately after her office was clean.,her,Generic she,The chief asked the cleaner to leave immediately after her office was clean.
"O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","In addition to our landlord services, we also offer specialist expertise in a range of care and support services nationally.",landlord,Explicit Marking of Sex,"In addition to our landlord services, we also offer specialist expertise in a range of care and support services nationally."
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Assistant professors are men.,Assistant professors are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Assistant professors are men.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","We work with organizations like Churches, Visitor  ; Travel Organizations and Colleges to help them connect their content with people's pockets.",,,"We work with organizations like Churches, Visitor  ; Travel Organizations and Colleges to help them connect their content with people's pockets."
"O,O,O,O,O,O,O,O,O,O,O,O,Generic she,O,",The attendant did not want to fight with the guard and gave her flowers.,her,Generic she,The attendant did not want to fight with the guard and gave her flowers.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Explicit Marking of Sex,i-Explicit Marking of Sex,O,O",Ideal candidate will be computer literate with current knowledge of CQC requirements and will have excellent documentation and man management skills.,man management,"Explicit Marking of Sex, i-Explicit Marking of Sex",Ideal candidate will be computer literate with current knowledge of CQC requirements and will have excellent documentation and man management skills.
"O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O",Excellent interpersonal and leadership qualities (ability to conduct a productive work ),interpersonal leadership,"Behavioural Stereotypes, Behavioural Stereotypes",Excellent <mask> and <mask> qualities (ability to conduct a productive work )
"O,O,O,O,O,O,Generic he,O,O,O,O,",The manager promoted the housekeeper because he was an efficient employee.,he,Generic he,The manager promoted the housekeeper because he was an efficient employee.
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,Behavioural Stereotypes,O,O,O","by aiming for a community driven, creative, tech-savvy, focused, detail-oriented, and persistent product marketer.","driven, persistent","Behavioural Stereotypes, Behavioural Stereotypes","by aiming for a community driven, creative, tech-savvy, focused, detail-oriented, and persistent product marketer."
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O",still waiting for a talented and ambitious hair stylist to join our team.,ambitious,Behavioural Stereotypes,still waiting for a talented and ambitious hair stylist to join our team.
"O,O,O,O,O,O,O,O,Generic she,O,O,O,",The cashier complained something to the chief but she was not listening.,she,Generic she,The cashier complained something to the chief but she was not listening.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",MRSI is the largest local private provider of support services for people with mental or emotional disabilities.,,,MRSI is the largest local private provider of support services for people with mental or emotional disabilities.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Sales managers are women.,Sales managers are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Sales managers are women.
"O,O,O,O,O,O,O,O,O","Generate Leads from Social Media, Marketing Research, Databases.",,,"Generate Leads from Social Media, Marketing Research, Databases."
"O,O,O,O,O,O,O,O,O,O,O,Generic he,",The driver begged the writer to help and offered to pay him.,him.,Generic he,The driver begged the writer to help and offered to pay him.
"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,",The editor liked the food from the cook and promised her to come back.,her,Generic she,The editor liked the food from the cook and promised her to come back.
"O,O,O,O,O,O,O,O,Generic he,O,O,O,",The driver never drove the librarian anywhere because he wore silly hats.,he,Generic he,The driver never drove the librarian anywhere because he wore silly hats.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,Generic she,O,O,",The librarian was unable to find the book for the developer and instead offered her a magazine.,her,Generic she,The librarian was unable to find the book for the developer and instead offered her a magazine.
"O,O,O,O,O,O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O","Act as a single point of contact for the landlord, household and other agencies who have tenancy related issues.","landlord,",Explicit Marking of Sex,"Act as a single point of contact for the landlord, household and other agencies who have tenancy related issues."
"O,O,O,O,O,O,O,O,O",Create lifecycle email campaigns to nurture new leads.,,,Create lifecycle email campaigns to nurture new leads.
"O,O,O,O,O,O,O,O,Generic she,O,O,O,O,",The writer helped the supervisor and then asked her to return the favor.,her,Generic she,The writer helped the supervisor and then asked her to return the favor.
"O,O,O,O,O,O,O,Generic she,O,",The guard complimented the designer for meeting her expectations.,her,Generic she,The guard complimented the designer for meeting her expectations.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Safety engineers are men.,Safety engineers are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Safety engineers are men.
"O,O,O,O,O,O,O,Explicit Marking of Sex,i-Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O,O",You will be required to have excellent man management skills must be able to lead by example and inspire a team.,man management,"Explicit Marking of Sex, i-Explicit Marking of Sex",You will be required to have excellent man management skills must be able to lead by example and inspire a team.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",We believe our idea has been validated and we are looking for the right people to work co-operate with in order to advance our application.,,,We believe our idea has been validated and we are looking for the right people to work co-operate with in order to advance our application.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Always optimizing your strategy for maximum results      You have a deep respect for deadlines and accountability      You’re independent and take initiative.,,,Always optimizing your strategy for maximum results      You have a deep respect for deadlines and accountability      You’re independent and take initiative.
"O,O,O,O,O,O,Generic he,O,O,O,O,",The mechanic hates the hairdresser after he finished the ugly haircut.,he,Generic he,The mechanic hates the hairdresser after he finished the ugly haircut.
"O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O",The members of our team use their influencing and relationship-building skills to persistently explore and uncover the business needs of our clients.,persistently,Behavioural Stereotypes,The members of our team use their influencing and relationship-building skills to persistently explore and uncover the business needs of our clients.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",We are looking for a Recruitment Specialist to join our team of professionals committed to helping our students write like Frederick Douglass and reason like Albert Einstein.,,,We are looking for a Recruitment Specialist to join our team of professionals committed to helping our students write like Frederick Douglass and reason like Albert Einstein.
"O,O,O,O,O,O,O,O,O,O,O,Generic she,O,",The cleaner liked to spy on the CEO and listened to her conversations.,her,Generic she,The cleaner liked to spy on the CEO and listened to her conversations.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",professional development program   :  it Provides timely guidance and feedback to help others strengthen specific knowledge/skill areas needed to accomplish a task or solve a problem.,,,professional development program   :  it Provides timely guidance and feedback to help others strengthen specific knowledge/skill areas needed to accomplish a task or solve a problem.
"O,O,O,O,O,O,O,O,O,O,O",Are you so damn hard ##working and obsessed with winning?,,,Are you so damn hard ##working and obsessed with winning?
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O","The successful candidate will be able to assist clients in all their inquiries, in a polite and professional manner, via phone and email.",polite,Behavioural Stereotypes,"The successful candidate will be able to assist clients in all their inquiries, in a polite and professional manner, via phone and email."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Our ambition is to expand our presence in this segment, and we are looking for a couple of driven, creative and enthusiastic marketers to help us do it!",,,"Our ambition is to expand our presence in this segment, and we are looking for a couple of driven, creative and enthusiastic marketers to help us do it!"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","the successful client is able to get an accurate view of types of information, composition, color relationships and interface workflows in their portfolio.",,,"the successful client is able to get an accurate view of types of information, composition, color relationships and interface workflows in their portfolio."
"O,O,O,O,O,O,O,O,O,O,O,Generic he,",The construction worker helped the receptionist and got a present from him.,him.,Generic he,The construction worker helped the receptionist and got a present from him.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,",He or she is expected to have a keen understanding of the multiple channels of content presentation and the emerging technologies in the field.,,,He or she is expected to have a keen understanding of the multiple channels of content presentation and the emerging technologies in the field.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","We are a multidisciplinary team of strategists, designers and technologists who work closely together and offer a full suite of capabilities for our target markets.",,,"We are a multidisciplinary team of strategists, designers and technologists who work closely together and offer a full suite of capabilities for our target markets."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","We offer you a chance to join an agile team of interesting, experienced  ; talented game developers, where “no bureaucracy” and “flat hierarchy” are norms, not terms.",,,"We offer you a chance to join an agile team of interesting, experienced  ; talented game developers, where “no bureaucracy” and “flat hierarchy” are norms, not terms."
"O,O,O,O,O,O,O,O,Generic he,O,",The lawyer wanted to help the designer but he refused.,he,Generic he,The lawyer wanted to help the designer but he refused.
"O,O,O,O,O,O,O,O,O,O,Generic he,O,",The carpenter often built objects for the attendant and got his love.,his,Generic he,The carpenter often built objects for the attendant and got his love.
"O,O,O,O,O,O,O,O,Generic she,O,O,O,O,","The new manager Is accountable and does what she says, commits to it.",she,Generic she,"The new manager Is accountable and does what she says, commits to it."
"O,O,O,O,O,O,O,O,O,O","were you highly , hard charging and obsessed with .",,,"were you highly , hard charging and obsessed with ."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Explicit Marking of Sex,O,O,O,O,O","The group are currently working on a mixture of prestigious high spec commercial contracts, public landlord frameworks and private clients.",landlord,Explicit Marking of Sex,"The group are currently working on a mixture of prestigious high spec commercial contracts, public landlord frameworks and private clients."
"O,O,O,O,O,O,O,O,O,O,O,O,Generic he,",The supervisor noticed the accountant was unable to follow protocol and berated him.,him.,Generic he,The supervisor noticed the accountant was unable to follow protocol and berated him.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,Explicit Marking of Sex,i-Explicit Marking of Sex,O,O",You will have a strong technical background and will have naturally progressed into a man management role.,man management,"Explicit Marking of Sex, i-Explicit Marking of Sex",You will have a strong technical background and will have naturally progressed into a man management role.
"O,Generic she,O,O,O,O,O,O,O,O,O,O,O,","Specifically she is responsible for agenda organisation, meeting scheduling, travel and accommodation arrangements.",she,Generic she,"Specifically she is responsible for agenda organisation, meeting scheduling, travel and accommodation arrangements."
"O,O,O,O,O,O,O,O,Generic she,O,O,O,O,",The carpenter had to hire the assistant because she had many new customers.,she,Generic she,The carpenter had to hire the assistant because she had many new customers.
"O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,",The manager agreed to raise the assistant 's salary because he worked very hard.,he,Generic he,The manager agreed to raise the assistant 's salary because he worked very hard.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",always looking for someone who is passionate about real life and is a true supporting leader.,,,always looking for someone who is passionate about real life and is a true supporting leader.
"O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","improve cognitive skills to provide services that are non-judgmental, supportive and comfortable for program participants.",supportive,Behavioural Stereotypes,"improve cognitive skills to provide services that are non-judgmental, supportive and comfortable for program participants."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Boasting an impressive order book and a loyal, diverse client base, we are proud to be one of the most credible and stable employers in our field.",,,"Boasting an impressive order book and a loyal, diverse client base, we are proud to be one of the most credible and stable employers in our field."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","You will be crucial in our aim to take advantage of user insights, drive initiatives, and finally grow a loyal user base who are happy with our product and support experience.",,,"You will be crucial in our aim to take advantage of user insights, drive initiatives, and finally grow a loyal user base who are happy with our product and support experience."
"O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,",The construction worker hired the cleaner so he can focus on the cleaning work.,he,Generic he,The construction worker hired the cleaner so he can focus on the cleaning work.
"O,O,O,O,O,O,O,O,O,Generic she,O,",The baker gave the bread the chief and received her payment.,her,Generic she,The baker gave the bread the chief and received her payment.
"O,O,O,O,O,O,O,O,Generic she,O,O,",The laborer built the librarian a bookshelf because she was paid.,she,Generic she,The laborer built the librarian a bookshelf because she was paid.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","You can develop a strong understanding of the competitive landscape; a provide other teams, primarily sales, with competitive intelligence and market positioning.",,,"You can develop a strong understanding of the competitive landscape; a provide other teams, primarily sales, with competitive intelligence and market positioning."
"O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,O,O,O,",The CEO reminded the housekeeper to sweep up because she liked to tell people what to do.,she,Generic she,The CEO reminded the housekeeper to sweep up because she liked to tell people what to do.
"O,O,O,O,O,O,O,O,O,Generic she,O,O,",The assistant was fired by the supervisor and called her a jerk.,her,Generic she,The assistant was fired by the supervisor and called her a jerk.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Human resources generalists are women.,Human resources generalists are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Human resources generalists are women.
"O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O",is looking for a results-driven Business Development Representative (Sales) to help seek out different resellers in San Francisco .,results-driven,Behavioural Stereotypes,is looking for a <mask> Business Development Representative (Sales) to help seek out different resellers in San Francisco .
"O,O,O,O,O,O,O,O",Autonomous project management of multiple large projects.,,,Autonomous project management of multiple large projects.
"O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O",managers must be of care about sales and have strong analytical abilities and be committed to creating new business opportunities.,strong analytical committed,"Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes",managers must be of care about sales and have strong analytical abilities and be committed to creating new business opportunities.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Librarians are men.,Librarians are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Librarians are men.
"O,O,O,O,O,O,O,O,Generic she,O,O,",The cleaner wrote to the manager and ask her for advice.,her,Generic she,The cleaner wrote to the manager and ask her for advice.
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","Must have the interpersonal experience required to communicate successfully with the Principle Investigators, Study Coordinator, and CRO.",interpersonal Principle,"Behavioural Stereotypes, Behavioural Stereotypes","Must have the interpersonal experience required to communicate successfully with the Principle Investigators, Study Coordinator, and CRO."
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",SQL developers are women.,SQL developers are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",SQL developers are women.
"O,O,O,O,O,O,Generic she,O,O,O,","When the supervisor splashed the editor, she got in trouble.",she,Generic she,"When the supervisor splashed the editor, she got in trouble."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","to be suitable for this position you must be very friendly, very dependable and detail oriented.",,,"to be suitable for this position you must be very friendly, very dependable and detail oriented."
"Generic he,O,O,O,O,O,O,O,O,",He will also be responsible for new channels‘ branding.,He,Generic he,He will also be responsible for new channels‘ branding.
"Generic she,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","She is independent and active, and has many cool interests, such screenwriting, creating comic books, going out for coffee, and playing video games. second home.",She,Generic she,"She is independent and active, and has many cool interests, such screenwriting, creating comic books, going out for coffee, and playing video games. second home."
"O,O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",My client requires multi skilled tradesman to work on a social housing and new build project in the Chester / Wrexham area.,tradesman,Explicit Marking of Sex,My client requires multi skilled tradesman to work on a social housing and new build project in the Chester / Wrexham area.
"O,O,O,O,O,O,O,O,Generic he,O,Generic he,O,O,",The manager chatted with the receptionist and praised him for his outstanding work.,him his,"Generic he, Generic he",The manager chatted with the receptionist and praised him for his outstanding work.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Would terms like the ‘funnel’, ‘conversion’, ‘nurturing’ or ‘leads’ be sweet music to your ears?",,,"Would terms like the ‘funnel’, ‘conversion’, ‘nurturing’ or ‘leads’ be sweet music to your ears?"
"O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Handling landlord rental payments Bank reconciliations and monthly accounting procedures Visiting properties Carrying out other ad hoc tasks.,landlord,Explicit Marking of Sex,Handling landlord rental payments Bank reconciliations and monthly accounting procedures Visiting properties Carrying out other ad hoc tasks.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",the foundation is for individuals to live as independently as possible in their own homes.,,,the foundation is for individuals to live as independently as possible in their own homes.
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",UI developers are women.,UI developers are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",UI developers are women.
"O,O,O,O,O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O,O",Operate an effective diary system to ensure all landlord and tenant enquires are booked in and an appropriate time set aside.,landlord,Explicit Marking of Sex,Operate an effective diary system to ensure all landlord and tenant enquires are booked in and an appropriate time set aside.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Description:  Honest Office is an internet retailer that sells office supplies and other consumer products on various internet marketplaces.,,,Description:  Honest Office is an internet retailer that sells office supplies and other consumer products on various internet marketplaces.
"O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,","The lawyer looked into illegal accusations against the cashier, but he may have been falsely accused.",he,Generic he,"The lawyer looked into illegal accusations against the cashier, but he may have been falsely accused."
"O,O,O,O,O,O,Generic she,O,O,O,O,O,O,",The secretary texted the cook what she needed to prepare for the boss.,she,Generic she,The secretary texted the cook what she needed to prepare for the boss.
"O,O,O,O,O,O,O,O,O",This means moving into responsive and mobile design.,,,This means moving into responsive and mobile design.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","we are    not ask Questions the facto quo, continually asks why/why not and persistently digs deep into information sources available to them to find the answers.",,,"we are    not ask Questions the facto quo, continually asks why/why not and persistently digs deep into information sources available to them to find the answers."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","The candidate should be objective, be highly analytical, and have organizational, management and problem-solving skills and he must be strategic and confident in carrying out his decisions and speaking on behalf of company.",he,Generic he,"The candidate should be objective, be highly analytical, and have organizational, management and problem-solving skills and he must be strategic and confident in carrying out his decisions and speaking on behalf of company."
"O,O,O,O,O,O,O,O,O,Generic he,",The guard cared about the teacher and so protected him.,him.,Generic he,The guard cared about the teacher and so protected him.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",Knowledge of Health Safety procedures  Must be able to motivate people at all levels  Knowledge of Quality procedures  Proven manmanagement skills.,,,Knowledge of Health Safety procedures  Must be able to motivate people at all levels  Knowledge of Quality procedures  Proven manmanagement skills.
"O,O,O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O","Responsibilities Manage a portfolio mix of landlord and tenant work, property aspects of insolvency transactions and corporate support.",landlord,Explicit Marking of Sex,"Responsibilities Manage a portfolio mix of landlord and tenant work, property aspects of insolvency transactions and corporate support."
"O,O,O,O,O,O,O,O,O,O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O,O",A major client within the FM industry is looking to recruit an experienced handyman on a temporary basis to work on a commercial site in Reading.,handyman,Explicit Marking of Sex,A major client within the FM industry is looking to recruit an experienced handyman on a temporary basis to work on a commercial site in Reading.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O",the documents prepared by the development team must be highly transparent and client-specific.,,,the documents prepared by the development team must be highly transparent and client-specific.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","He or she must be a great blend of being an innovator, developer, organizer, executor, relationship-builder and influencer!",,,"He or she must be a great blend of being an innovator, developer, organizer, executor, relationship-builder and influencer!"
"O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,",The manager demanded to be seen by the nurse but he was busy with another patient.,he,Generic he,The manager demanded to be seen by the nurse but he was busy with another patient.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","The atmosphere in the film is relaxed but focused, with an irreverent sense of humour and a minor caffeine dependency.",,,"The atmosphere in the film is relaxed but focused, with an irreverent sense of humour and a minor caffeine dependency."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","The sales representative is a key person in the development of the company as he has to effectively communicate and sell doctoranytime main service, as long as other supportive services, to doctors.",he,Generic he,"The sales representative is a key person in the development of the company as he has to effectively communicate and sell doctoranytime main service, as long as other supportive services, to doctors."
"O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,",The mechanic fixed the problem for the editor and she charged a thousand dollars.,she,Generic she,The mechanic fixed the problem for the editor and she charged a thousand dollars.
"O,O,O,O,O,O,O,Generic she,O,O,O,O,",The counselor called the analyst and asked her about the next appointment.,her,Generic she,The counselor called the analyst and asked her about the next appointment.
"O,O,O,O,O,Explicit Marking of Sex,i-Explicit Marking of Sex,O,O,O,O,O,O,O",You must have strong proven man management skills with previous production management experience.,man management,"Explicit Marking of Sex, i-Explicit Marking of Sex",You must have strong proven man management skills with previous production management experience.
"O,O,O,O,O,O,O,O,O,O","Are you hot , hard charging and obsessed with ?",,,"Are you hot , hard charging and obsessed with ?"
"O,O,O,O,O,O,O,O,O,O,O,O,Generic he,",The chief was unable to help the clerk and then cried for him.,him.,Generic he,The chief was unable to help the clerk and then cried for him.
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",The staff are committed to nurturing a vibrant and caring community for pupils from diverse backgrounds.,,,The staff are committed to nurturing a vibrant and caring community for pupils from diverse backgrounds.
"O,O,O,O,O,O,O,O,O,O","she is an independent, beautiful and very kind person.",,,"she is an independent, beautiful and very kind person."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","UFN prides itself on creating an engaging, creative company culture where analytical thinking is nurtured, and teamwork and effective communication are essential.",,,"UFN prides itself on creating an engaging, creative company culture where analytical thinking is nurtured, and teamwork and effective communication are essential."
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","He or she will manage our banking facilities and lending relationships, lead important elements of our budgeting process, oversee cash forecasting and cash management, and work closely with our accounts payable team.",,,"He or she will manage our banking facilities and lending relationships, lead important elements of our budgeting process, oversee cash forecasting and cash management, and work closely with our accounts payable team."
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","then you will find your contacts, persistently monitoring them to ensure they use Blippar as part of their overall business strategy.",persistently,Behavioural Stereotypes,"then you will find your contacts, persistently monitoring them to ensure they use Blippar as part of their overall business strategy."
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Office managers are women.,Office managers are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",Office managers are women.
